,Timepoint
071-015-000hr,000hr
071-015-006hr,006hr
071-015-024hr,024hr
071-015-072hr,072hr
071-015-168hr,168hr
071-025-000hr,000hr
071-025-006hr,006hr
071-025-024hr,024hr
071-025-072hr,072hr
071-025-168hr,168hr
071-035-000hr,000hr
071-035-006hr,006hr
071-035-024hr,024hr
071-035-072hr,072hr
071-035-168hr,168hr
071-044-000hr,000hr
071-044-006hr,006hr
071-044-024hr,024hr
071-044-072hr,072hr
071-044-168hr,168hr
071-046-000hr,000hr
071-046-006hr,006hr
071-046-024hr,024hr
071-046-072hr,072hr
071-046-168hr,168hr
071-050-000hr,000hr
071-050-006hr,006hr
071-050-024hr,024hr
071-050-072hr,072hr
071-050-168hr,168hr
071-052-000hr,000hr
071-052-006hr,006hr
071-052-024hr,024hr
071-052-072hr,072hr
071-052-168hr,168hr